chunk_id,doc_id,chunk_index,chunk_file,dataset_name,subset,split,department,document_type,category,region,created_at
pile_of_law_0000000_chunk_0047,pile_of_law_0000000,47,chunks/pile_of_law_0000000_chunk_0047.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0048,pile_of_law_0000000,48,chunks/pile_of_law_0000000_chunk_0048.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0049,pile_of_law_0000000,49,chunks/pile_of_law_0000000_chunk_0049.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0050,pile_of_law_0000000,50,chunks/pile_of_law_0000000_chunk_0050.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0051,pile_of_law_0000000,51,chunks/pile_of_law_0000000_chunk_0051.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0052,pile_of_law_0000000,52,chunks/pile_of_law_0000000_chunk_0052.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0053,pile_of_law_0000000,53,chunks/pile_of_law_0000000_chunk_0053.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0054,pile_of_law_0000000,54,chunks/pile_of_law_0000000_chunk_0054.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0055,pile_of_law_0000000,55,chunks/pile_of_law_0000000_chunk_0055.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0056,pile_of_law_0000000,56,chunks/pile_of_law_0000000_chunk_0056.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0057,pile_of_law_0000000,57,chunks/pile_of_law_0000000_chunk_0057.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0058,pile_of_law_0000000,58,chunks/pile_of_law_0000000_chunk_0058.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0059,pile_of_law_0000000,59,chunks/pile_of_law_0000000_chunk_0059.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0060,pile_of_law_0000000,60,chunks/pile_of_law_0000000_chunk_0060.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0061,pile_of_law_0000000,61,chunks/pile_of_law_0000000_chunk_0061.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0062,pile_of_law_0000000,62,chunks/pile_of_law_0000000_chunk_0062.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0063,pile_of_law_0000000,63,chunks/pile_of_law_0000000_chunk_0063.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0064,pile_of_law_0000000,64,chunks/pile_of_law_0000000_chunk_0064.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0065,pile_of_law_0000000,65,chunks/pile_of_law_0000000_chunk_0065.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0066,pile_of_law_0000000,66,chunks/pile_of_law_0000000_chunk_0066.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0067,pile_of_law_0000000,67,chunks/pile_of_law_0000000_chunk_0067.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0068,pile_of_law_0000000,68,chunks/pile_of_law_0000000_chunk_0068.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0069,pile_of_law_0000000,69,chunks/pile_of_law_0000000_chunk_0069.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0070,pile_of_law_0000000,70,chunks/pile_of_law_0000000_chunk_0070.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0071,pile_of_law_0000000,71,chunks/pile_of_law_0000000_chunk_0071.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0072,pile_of_law_0000000,72,chunks/pile_of_law_0000000_chunk_0072.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0073,pile_of_law_0000000,73,chunks/pile_of_law_0000000_chunk_0073.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0074,pile_of_law_0000000,74,chunks/pile_of_law_0000000_chunk_0074.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0075,pile_of_law_0000000,75,chunks/pile_of_law_0000000_chunk_0075.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0076,pile_of_law_0000000,76,chunks/pile_of_law_0000000_chunk_0076.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0077,pile_of_law_0000000,77,chunks/pile_of_law_0000000_chunk_0077.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0078,pile_of_law_0000000,78,chunks/pile_of_law_0000000_chunk_0078.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0079,pile_of_law_0000000,79,chunks/pile_of_law_0000000_chunk_0079.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0080,pile_of_law_0000000,80,chunks/pile_of_law_0000000_chunk_0080.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0081,pile_of_law_0000000,81,chunks/pile_of_law_0000000_chunk_0081.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0082,pile_of_law_0000000,82,chunks/pile_of_law_0000000_chunk_0082.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0083,pile_of_law_0000000,83,chunks/pile_of_law_0000000_chunk_0083.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0084,pile_of_law_0000000,84,chunks/pile_of_law_0000000_chunk_0084.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0085,pile_of_law_0000000,85,chunks/pile_of_law_0000000_chunk_0085.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0086,pile_of_law_0000000,86,chunks/pile_of_law_0000000_chunk_0086.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0087,pile_of_law_0000000,87,chunks/pile_of_law_0000000_chunk_0087.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0088,pile_of_law_0000000,88,chunks/pile_of_law_0000000_chunk_0088.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0089,pile_of_law_0000000,89,chunks/pile_of_law_0000000_chunk_0089.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0090,pile_of_law_0000000,90,chunks/pile_of_law_0000000_chunk_0090.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0091,pile_of_law_0000000,91,chunks/pile_of_law_0000000_chunk_0091.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0092,pile_of_law_0000000,92,chunks/pile_of_law_0000000_chunk_0092.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0093,pile_of_law_0000000,93,chunks/pile_of_law_0000000_chunk_0093.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0094,pile_of_law_0000000,94,chunks/pile_of_law_0000000_chunk_0094.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0095,pile_of_law_0000000,95,chunks/pile_of_law_0000000_chunk_0095.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0096,pile_of_law_0000000,96,chunks/pile_of_law_0000000_chunk_0096.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0097,pile_of_law_0000000,97,chunks/pile_of_law_0000000_chunk_0097.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0098,pile_of_law_0000000,98,chunks/pile_of_law_0000000_chunk_0098.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0099,pile_of_law_0000000,99,chunks/pile_of_law_0000000_chunk_0099.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0100,pile_of_law_0000000,100,chunks/pile_of_law_0000000_chunk_0100.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0101,pile_of_law_0000000,101,chunks/pile_of_law_0000000_chunk_0101.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0102,pile_of_law_0000000,102,chunks/pile_of_law_0000000_chunk_0102.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0103,pile_of_law_0000000,103,chunks/pile_of_law_0000000_chunk_0103.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0104,pile_of_law_0000000,104,chunks/pile_of_law_0000000_chunk_0104.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0105,pile_of_law_0000000,105,chunks/pile_of_law_0000000_chunk_0105.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0106,pile_of_law_0000000,106,chunks/pile_of_law_0000000_chunk_0106.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0107,pile_of_law_0000000,107,chunks/pile_of_law_0000000_chunk_0107.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0108,pile_of_law_0000000,108,chunks/pile_of_law_0000000_chunk_0108.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0109,pile_of_law_0000000,109,chunks/pile_of_law_0000000_chunk_0109.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0110,pile_of_law_0000000,110,chunks/pile_of_law_0000000_chunk_0110.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0111,pile_of_law_0000000,111,chunks/pile_of_law_0000000_chunk_0111.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0112,pile_of_law_0000000,112,chunks/pile_of_law_0000000_chunk_0112.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0113,pile_of_law_0000000,113,chunks/pile_of_law_0000000_chunk_0113.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0114,pile_of_law_0000000,114,chunks/pile_of_law_0000000_chunk_0114.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0115,pile_of_law_0000000,115,chunks/pile_of_law_0000000_chunk_0115.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0116,pile_of_law_0000000,116,chunks/pile_of_law_0000000_chunk_0116.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0117,pile_of_law_0000000,117,chunks/pile_of_law_0000000_chunk_0117.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0118,pile_of_law_0000000,118,chunks/pile_of_law_0000000_chunk_0118.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0119,pile_of_law_0000000,119,chunks/pile_of_law_0000000_chunk_0119.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0120,pile_of_law_0000000,120,chunks/pile_of_law_0000000_chunk_0120.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0121,pile_of_law_0000000,121,chunks/pile_of_law_0000000_chunk_0121.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0122,pile_of_law_0000000,122,chunks/pile_of_law_0000000_chunk_0122.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0123,pile_of_law_0000000,123,chunks/pile_of_law_0000000_chunk_0123.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0124,pile_of_law_0000000,124,chunks/pile_of_law_0000000_chunk_0124.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0125,pile_of_law_0000000,125,chunks/pile_of_law_0000000_chunk_0125.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
pile_of_law_0000000_chunk_0126,pile_of_law_0000000,126,chunks/pile_of_law_0000000_chunk_0126.txt,pile-of-law/pile-of-law,cfr,train,Compliance,law,Regulation,Unknown,2026-02-06T19:51:53.323282
